gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,na_pvalue,na_padj,significant,direction,status
TX50_RS00020...1,1911.2134214117261,1.8849947989718807,0.32622988090531574,5.77811815932023,7.554075219207428e-9,4.017986560561192e-8,P2vsP1,FALSE,FALSE,TRUE,up,up
TX50_RS00025...2,129.7267810834447,0.19639565546949364,0.3109778586026217,0.6315422466152318,0.5276860352183952,0.5896745264888417,P2vsP1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00030...3,1008.790198462983,2.7038043795276163,0.3305325682143662,8.180145134061554,2.8350220199686187e-16,4.68538014193028e-15,P2vsP1,FALSE,FALSE,TRUE,up,up
TX50_RS00035...4,436.52573049078154,1.2924484748220675,0.23051761201782867,5.606723336705861,2.0619285811906354e-8,1.0287411870037376e-7,P2vsP1,FALSE,FALSE,TRUE,up,up
TX50_RS00040...5,836.8079504884151,1.0045231446080316,0.27106836030822695,3.7057926770420804,2.1073062755490744e-4,5.410019301028207e-4,P2vsP1,FALSE,FALSE,TRUE,up,up
TX50_RS00045...6,162.04778179795971,1.9940514247381707,0.41504601530088037,4.804410477938495,1.552081245532176e-6,5.700203145793765e-6,P2vsP1,FALSE,FALSE,TRUE,up,up
TX50_RS00050...7,364.4287619302709,2.5476373472650264,0.37376460718892895,6.816154601757832,9.350966499031822e-12,8.050529762654839e-11,P2vsP1,FALSE,FALSE,TRUE,up,up
TX50_RS00055...8,1881.381554903057,0.40117549705655414,0.3430585699928936,1.1694081773408675,0.24223921677174784,0.3069026627272452,P2vsP1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00060...9,163.35588032998203,-0.47518426907962347,0.3654875971524286,-1.300137878225852,0.193553717411363,0.25230135980875557,P2vsP1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00065...10,217.24777771246605,-1.192485826033561,0.2578816060145016,-4.624160072768056,3.761193348311317e-6,1.2658125250407722e-5,P2vsP1,FALSE,FALSE,TRUE,down,down
TX50_RS00070...11,117.64445387691146,-0.7792375791568393,0.2706413799969147,-2.879225561019984,0.003986530960015697,0.0077656906822254936,P2vsP1,FALSE,FALSE,TRUE,down,down
TX50_RS00075...12,321.69076290321453,0.18138494124362914,0.31489622983577914,0.5760149663850305,0.5646050655455808,0.6269250007947631,P2vsP1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00080...13,3731.197555154917,-0.11231407837706282,0.226873090541138,-0.4950524458814006,0.6205631002621665,0.6803624820833714,P2vsP1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00085...14,152.214865749413,1.730205036337025,0.4028494198731813,4.294917532416209,1.747582866734368e-5,5.285581513603456e-5,P2vsP1,FALSE,FALSE,TRUE,up,up
TX50_RS00090...15,484.41315959319763,0.5371327989676754,0.2655268042539697,2.022894827800215,0.0430839919257069,0.06746909395472375,P2vsP1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00095...16,2005.5983256409686,-0.7212797808162347,0.30401934344272563,-2.372479897655318,0.017669124588238185,0.03059452723370335,P2vsP1,FALSE,FALSE,TRUE,down,down
TX50_RS00100...17,797.2286011515466,0.1895641757247894,0.2472402168636372,0.766720633598787,0.44324763304149795,0.5131027947215839,P2vsP1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00105...18,122.61403320410712,0.10810609413876474,0.2644797117687576,0.4087500451954707,0.6827231033007958,0.7334419409226772,P2vsP1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00110...19,118.48371371296325,1.540562408058684,0.4838192441894867,3.1841693495253494,0.0014517005531702897,0.0031391328550446334,P2vsP1,FALSE,FALSE,TRUE,up,up
TX50_RS00115...20,1285.6215432364038,-0.5569219944000352,0.23660972659520202,-2.3537578205854217,0.01858471482597784,0.031993163743609734,P2vsP1,FALSE,FALSE,TRUE,down,down
TX50_RS00120...21,42.339481703011565,-0.37221500165169763,0.45002432650576457,-0.8270997360115593,0.4081805338414064,0.48031924230161677,P2vsP1,FALSE,FALSE,FALSE,down,no_significant
